,Cumulative Variance
0,0.9923799376681169
1,0.9985103036360308
2,0.998747361731062
3,0.998824647249713
4,0.9988780582918121
5,0.9989284057814706
6,0.9989726561212698
7,0.9990109286406341
8,0.9990470031128431
9,0.9990819537162903
10,0.9991157112029879
11,0.9991491740293938
12,0.9991817895131877
13,0.9992135565748275
14,0.999245195783275
15,0.9992753752213952
16,0.9993050286297998
17,0.9993342177614353
18,0.9993630911986565
19,0.9993914177437347
20,0.9994190733048124
21,0.9994461835246718
22,0.9994727822084764
23,0.9994988943466652
24,0.9995247180055142
25,0.9995502458244244
26,0.999574646845543
27,0.9995987280387206
28,0.9996224723599548
29,0.9996457036232141
30,0.9996688644772987
31,0.9996914283904988
32,0.9997138842253658
33,0.9997357841459692
34,0.9997569690791703
35,0.9997779260384534
36,0.9997986178852638
37,0.9998189346379897
38,0.9998391032192377
39,0.9998588011342976
40,0.9998779196537548
41,0.9998966346942
42,0.9999149210071754
43,0.9999329182979199
44,0.9999506875304524
45,0.999967881089314
46,0.9999845049804413
47,1.0000000000000002
48,1.0000000000000002
