Spectrum_Number,Component_1,Component_2,Component_3
0,0.951657557283334,0.048342442716665976,-0.0
1,0.9317716177667754,0.06822838223322464,-0.0
2,0.9533912674829821,0.046608732517017804,-0.0
3,0.9593629826184354,0.04063701738156466,-0.0
4,0.9998207954691698,-0.0,0.0001792045308301707
5,0.9727733558023318,0.02722664419766829,-0.0
6,0.9918027599885358,0.008197240011464152,-0.0
7,0.9720551006333407,0.027944899366659347,-0.0
8,0.9820714860469195,0.01792851395308044,-0.0
9,0.9432260211453248,0.056773978854675285,-0.0
10,0.9707527109652192,0.029247289034780813,-0.0
11,0.93293874145865,0.06706125854134996,-0.0
12,0.9450422834388504,-0.0,0.05495771656114958
13,0.9605239860896899,0.03947601391031016,-0.0
14,0.9741616438159549,0.013470833563855169,0.012367522620189959
15,0.9604828334014092,0.01332502224352999,0.026192144355060905
16,0.9100605084846493,-0.0,0.08993949151535063
17,0.9100502892456783,-0.0,0.08994971075432162
18,0.8920552044823314,0.0024929498542470277,0.10545184566342149
19,0.8642638082976122,-0.0,0.13573619170238782
20,0.7989059171740361,-0.0,0.20109408282596378
21,0.7972957118459979,-0.0,0.20270428815400204
22,0.6725925963212944,-0.0,0.3274074036787055
23,0.6811249289769951,-0.0,0.3188750710230049
24,0.5936551901836614,-0.0,0.4063448098163386
25,0.5649279075025964,-0.0,0.4350720924974036
26,0.4365562549587389,-0.0,0.5634437450412613
27,0.381944754006125,-0.0,0.618055245993875
28,0.3259567101757895,-0.0,0.6740432898242105
29,0.17283434516190896,-0.0,0.8271656548380909
30,5.357844695060263e-05,0.00016142060232054336,0.9997850009507289
31,-0.0,0.05492305504099614,0.9450769449590039
32,-0.0,0.1440626155003938,0.8559373844996062
33,-0.0,0.29999201225049005,0.70000798774951
34,-0.0,0.45209580789296266,0.5479041921070373
35,-0.0,0.6047372287992124,0.3952627712007876
36,-0.0,0.7045876463020291,0.2954123536979709
37,-0.0,0.7889329772383029,0.21106702276169703
38,-0.0,0.8447893208615315,0.15521067913846853
39,-0.0,0.9151020216383633,0.08489797836163679
40,-0.0,0.9334821530201707,0.06651784697982929
41,-0.0,0.9556636352628177,0.04433636473718232
42,-0.0,0.966192798813851,0.03380720118614901
43,-0.0,0.9750312964662509,0.024968703533749168
44,-0.0,0.9816652570789985,0.018334742921001464
45,-0.0,0.9901072522969059,0.00989274770309414
46,0.00018244085384117614,0.9960835015949437,0.0037340575512150114
47,0.008419067883567678,0.9915809321164323,-0.0
48,8.584873201936875e-05,0.9999141512679807,-0.0
